TermOrganizers	LectureSpeaker	SeriesId	EdgeId	speaker	affiliation
biasiori_lucio	wallnig_thomas (uni-wien)	ls1	ls1_t1_l1	wallnig_thomas	uni-wien
biasiori_lucio	donadelli_giovanni (uni-padova museum-uni-padova)	ls1	ls1_t1_l2	donadelli_giovanni	uni-padova museum-uni-padova
biasiori_lucio	xie_shi (uni-sun-yat-sen)	ls1	ls1_t1_l3	xie_shi	uni-sun-yat-sen
biasiori_lucio	orlandi_marco (uni-padova)	ls1	ls1_t1_l4	orlandi_marco	uni-padova
biasiori_lucio	elice_martina (uni-padova)	ls1	ls1_t1_l5	elice_martina	uni-padova
biasiori_lucio	ferrarese_francesco (uni-padova)	ls1	ls1_t1_l6	ferrarese_francesco	uni-padova
rabbiosi_chiara	wallnig_thomas (uni-wien)	ls1	ls1_t1_l1	wallnig_thomas	uni-wien
rabbiosi_chiara	donadelli_giovanni (uni-padova museum-uni-padova)	ls1	ls1_t1_l2	donadelli_giovanni	uni-padova museum-uni-padova
rabbiosi_chiara	xie_shi (uni-sun-yat-sen)	ls1	ls1_t1_l3	xie_shi	uni-sun-yat-sen
rabbiosi_chiara	orlandi_marco (uni-padova)	ls1	ls1_t1_l4	orlandi_marco	uni-padova
rabbiosi_chiara	elice_martina (uni-padova)	ls1	ls1_t1_l5	elice_martina	uni-padova
rabbiosi_chiara	ferrarese_francesco (uni-padova)	ls1	ls1_t1_l6	ferrarese_francesco	uni-padova
mazzini_federico	wallnig_thomas (uni-wien)	ls1	ls1_t1_l1	wallnig_thomas	uni-wien
mazzini_federico	donadelli_giovanni (uni-padova museum-uni-padova)	ls1	ls1_t1_l2	donadelli_giovanni	uni-padova museum-uni-padova
mazzini_federico	xie_shi (uni-sun-yat-sen)	ls1	ls1_t1_l3	xie_shi	uni-sun-yat-sen
mazzini_federico	orlandi_marco (uni-padova)	ls1	ls1_t1_l4	orlandi_marco	uni-padova
mazzini_federico	elice_martina (uni-padova)	ls1	ls1_t1_l5	elice_martina	uni-padova
mazzini_federico	ferrarese_francesco (uni-padova)	ls1	ls1_t1_l6	ferrarese_francesco	uni-padova
lubian_francesco	wallnig_thomas (uni-wien)	ls1	ls1_t1_l1	wallnig_thomas	uni-wien
lubian_francesco	donadelli_giovanni (uni-padova museum-uni-padova)	ls1	ls1_t1_l2	donadelli_giovanni	uni-padova museum-uni-padova
lubian_francesco	xie_shi (uni-sun-yat-sen)	ls1	ls1_t1_l3	xie_shi	uni-sun-yat-sen
lubian_francesco	orlandi_marco (uni-padova)	ls1	ls1_t1_l4	orlandi_marco	uni-padova
lubian_francesco	elice_martina (uni-padova)	ls1	ls1_t1_l5	elice_martina	uni-padova
lubian_francesco	ferrarese_francesco (uni-padova)	ls1	ls1_t1_l6	ferrarese_francesco	uni-padova
orlandi_marco	wallnig_thomas (uni-wien)	ls1	ls1_t1_l1	wallnig_thomas	uni-wien
orlandi_marco	donadelli_giovanni (uni-padova museum-uni-padova)	ls1	ls1_t1_l2	donadelli_giovanni	uni-padova museum-uni-padova
orlandi_marco	xie_shi (uni-sun-yat-sen)	ls1	ls1_t1_l3	xie_shi	uni-sun-yat-sen
orlandi_marco	orlandi_marco (uni-padova)	ls1	ls1_t1_l4	orlandi_marco	uni-padova
orlandi_marco	elice_martina (uni-padova)	ls1	ls1_t1_l5	elice_martina	uni-padova
orlandi_marco	ferrarese_francesco (uni-padova)	ls1	ls1_t1_l6	ferrarese_francesco	uni-padova
biasiori_lucio	bernardi_teresa (uni-padova)	ls1	ls1_t2_l1	bernardi_teresa	uni-padova
biasiori_lucio	zilio_daniel (uni-padova)	ls1	ls1_t2_l2	zilio_daniel	uni-padova
biasiori_lucio	novello_elisabetta (uni-padova)	ls1	ls1_t2_l3	novello_elisabetta	uni-padova
biasiori_lucio	chemello_marco (uni-padova)	ls1	ls1_t2_l4	chemello_marco	uni-padova
biasiori_lucio	mazzini_federico (uni-padova)	ls1	ls1_t2_l4	mazzini_federico	uni-padova
biasiori_lucio	elice_martina (uni-padova)	ls1	ls1_t2_l5	elice_martina	uni-padova
biasiori_lucio	mazzini_federico (uni-padova)	ls1	ls1_t2_l6	mazzini_federico	uni-padova
biasiori_lucio	orlandi_marco (uni-padova)	ls1	ls1_t2_l6	orlandi_marco	uni-padova
rabbiosi_chiara	bernardi_teresa (uni-padova)	ls1	ls1_t2_l1	bernardi_teresa	uni-padova
rabbiosi_chiara	zilio_daniel (uni-padova)	ls1	ls1_t2_l2	zilio_daniel	uni-padova
rabbiosi_chiara	novello_elisabetta (uni-padova)	ls1	ls1_t2_l3	novello_elisabetta	uni-padova
rabbiosi_chiara	chemello_marco (uni-padova)	ls1	ls1_t2_l4	chemello_marco	uni-padova
rabbiosi_chiara	mazzini_federico (uni-padova)	ls1	ls1_t2_l4	mazzini_federico	uni-padova
rabbiosi_chiara	elice_martina (uni-padova)	ls1	ls1_t2_l5	elice_martina	uni-padova
rabbiosi_chiara	mazzini_federico (uni-padova)	ls1	ls1_t2_l6	mazzini_federico	uni-padova
rabbiosi_chiara	orlandi_marco (uni-padova)	ls1	ls1_t2_l6	orlandi_marco	uni-padova
mazzini_federico	bernardi_teresa (uni-padova)	ls1	ls1_t2_l1	bernardi_teresa	uni-padova
mazzini_federico	zilio_daniel (uni-padova)	ls1	ls1_t2_l2	zilio_daniel	uni-padova
mazzini_federico	novello_elisabetta (uni-padova)	ls1	ls1_t2_l3	novello_elisabetta	uni-padova
mazzini_federico	chemello_marco (uni-padova)	ls1	ls1_t2_l4	chemello_marco	uni-padova
mazzini_federico	mazzini_federico (uni-padova)	ls1	ls1_t2_l4	mazzini_federico	uni-padova
mazzini_federico	elice_martina (uni-padova)	ls1	ls1_t2_l5	elice_martina	uni-padova
mazzini_federico	mazzini_federico (uni-padova)	ls1	ls1_t2_l6	mazzini_federico	uni-padova
mazzini_federico	orlandi_marco (uni-padova)	ls1	ls1_t2_l6	orlandi_marco	uni-padova
lubian_francesco	bernardi_teresa (uni-padova)	ls1	ls1_t2_l1	bernardi_teresa	uni-padova
lubian_francesco	zilio_daniel (uni-padova)	ls1	ls1_t2_l2	zilio_daniel	uni-padova
