"lecture-series-name","country-1","venue-1","country-2","venue-2","start-year","end-year","main-url"
"ACDH-CH Lectures","Austria","Vienna","","","2015","","https://www.oeaw.ac.at/de/acdh/newsevents/event-reihen/acdh-ch-lectures"
"Breakfast Lecture","Austria","Graz","","","2025","","https://digital-humanities.uni-graz.at/de/veranstaltungsuebersicht/breakfast-lecture/"
"Ciclo UC3M de Humanidades Digitales: Afrontando (junt@s) nuevos retos y oportunidades","Spain","Madrid","","","2024","","https://eventos.uc3m.es/124059/detail/i-ciclo-uc3m-de-humanidades-digitales-afrontando-junt-s-nuevos-retos-y-oportunidades.html"
"Ciclo de Videoconferencias del Máster en Humanidades y Patrimonio Digitales","Spain","Barcelona","","","2020","","https://www.uab.cat/web/agenda-1345829788444.html?inici=2008-01-01"
"Code & Kultur","Germany","Potsdam","","","2024","","https://www.uni-potsdam.de/de/digital-humanities/aktivitaeten/code-and-culture-lecture-series"
"Colloquium in Digital Cultural Heritage","Germany","Köln","","","2018","","https://dhc.hypotheses.org/uebersicht-der-semesterprogramme"
"Cultural Heritage in the Digital Age","Switzerland","Basel","","","2023","","https://dg.philhist.unibas.ch/fileadmin/user_upload/dg/Aktuelles/Ringvorlesungen/FS23_Cultural_Heritage_lectureseries_program.pdf"
"Cycle de conférences – Humanités numériques","France","Rouen","","","2021","2022","https://eriac.univ-rouen.fr/13890-2/"
"DH Kolloquium: Talks, Projects + Thesis Presentations","Germany","Erlangen","","","2024","","https://www.dhss.phil.fau.eu/2024/11/07/dh-kolloquium-during-winter-term-2024-25/"
"DH Seminars","Switzerland","Lausanne","","","2015","2023","https://www.epfl.ch/schools/cdh/research-2/dhi/dh-events/"
"DH-Kolloquium an der BBAW","Germany","Berlin","","","2017","","https://www.bbaw.de/bbaw-digital/dh-kolloquium"
"DHSS Vortragsreihe","Germany","Erlangen","","","2023","2024","https://www.dhss.phil.fau.de/2023/11/03/einladung-zur-dhss-vortragsreihe/"
"Dazzling Data: Digital Humanities in der Mediävistik und Frühneuzeitforschung","Austria","Salzburg","","","2023","2024","https://izmf-salzburg.at/2023/09/12/ringvorlesung-2023-24-dazzling-data/"
"DiSCourse Seminar","Austria","Innsbruck","","","2019","","https://www.uibk.ac.at/en/disc/events/"
"Digital Humanities im Fokus: Methoden, Anwendungen und Perspektiven","Germany","Rostock","","","2023","","https://www.germanistik.uni-rostock.de/forschung/digital-humanities/rosdh/ringvorlesung/"
"Digital Humanities in den Geisteswissenschaften / Digitale Geisteswissenschaften","Germany","Stuttgart","","","2015","2020","https://web.archive.org/web/20250421195846/http://web.archive.org/screenshot/https://dhd-blog.org/?p=5770"
"Digital Humanities – Aktuelle Forschungsthemen","Germany","Cologne","","","2015","","https://dhc.hypotheses.org/uebersicht-der-semesterprogramme"
"Digital Humanities – Theorie und Methodik","Germany","Leipzig","","","2014","","https://home.uni-leipzig.de/burr/Digital_Humanities/veranstaltungen.htm"
"Digital Humanities. Medienwissenschaftliche Perspektiven – Mediävistische Schlaglichter","Germany","Freiburg","","","2021","2022","https://web.archive.org/web/20220124190036/https://www.mittelalterzentrum.uni-freiburg.de/ringvorlesung-maz"
"Digital Humanities: Anwendungsbereiche, Möglichkeiten, Werkzeuge","Germany","Tübingen","","","2024","2024","https://timms.uni-tuebingen.de/List/List?id=UT_2024_____001_sose24digithuman_000_"
"Digital Humanities: Die digitale Transformation der Geisteswissenschaften","Germany","Berlin","","","2017","2018","https://web.archive.org/web/20210128125418/https://dhd-blog.org/?p=8333"
"Digital Humanities: Grundlagen, Methoden und Reflexion in interdisziplinärer Perspektive","Germany","Hamburg","","","2024","","https://www.zfw.uni-hamburg.de/oeffentliche-vortraege/programm-wise/10-digital-humanities"
"Digitising the Humanities: an Internationalisation at Home (I@H) Lecture Series","Belgium","Gent","","","2018","2020","https://www.ghentcdh.ugent.be/digitising-humanities-internationalisation-home-ih-lecture-series"
"Doing digital humanities @ DiSSGeA","Italy","Padua","","","2020","2022","https://dissgea.unipd.it/ciclo-di-seminari-mobilab-doing-digital-humanities-dissgea-20202021"
"Einblicke in die Digital Humanities","Switzerland","Bern","","","2020","","https://einblicke.hypotheses.org/"
