Person ID	First Name	Last Name	Sex	Year	Institution
sperberg-mc-queen_michael	Michael	Sperberg-McQueen		2020	black-mesa-technologies
bloomfield_camille	Camille	Bloomfield		2023	uni-paris-cite
tadier_elsa	Elsa	Tadier		2023	uni-paris-cite
ysebaert_ronan	Ronan	Ysebaert		2023	uni-paris-cite
flipo_fabrice	Fabrice	Flipo		2023	uni-paris-cite
ritz_olivier	Olivier	Ritz		2022	uni-paris-cite
stoehr_thierry	Thierry	Stœhr		2022	uni-paris-cite
poulain_pierre	Pierre	Poulain		2022	uni-paris-cite
goerres_daniel	Daniel	Görres		2024	fh-koeln
klusik-eckert_jacqueline	Jacqueline	Klusik-Eckert		2023	uni-duesseldorf
timpf_sabine	Sabine	Timpf		2023	uni-augsburg
pfeifer_michelle	Michelle	Pfeifer		2023	uni-dresden
ehrl_franziska	Franziska	Ehrl		2023	library-uni-heidelberg
hiltmann_torsten	Torsten	Hiltmann		2022	uni-hu-berlin
goldhahn_dirk	Dirk	Goldhahn		2022	adw-leipzig
naether_franziska	Claudia	Bamberg		2022	adw-leipzig
bamberg_claudia	Claudia	Bamberg		2022	uni-trier
keupp_jan	Jan	Keupp		2022	uni-muenster
carlson_rebecca	Rebecca	Carlson		2023	uni-toyo
fortun_mike	Mike	Fortun		2023	uni-california
moreno-almeida_cristina	Cristina	Moreno Almeida		2022	uni-london-queen-mary
porter_james-david	James David	Porter		2025	uni-pennsylvania
konle_leonard	Leonard	Konle		2025	uni-wuerzburg
chonka_peter	Peter	Chonka		2022	uni-london-kcl
mathew_ashwin	Ashvin	Mathew		2022	uni-london-kcl
zaborowski_rafal	Rafal	Zaborowski		2022	uni-london-kcl
cheong_niki	Niki	Cheong		2022	uni-london-kcl
gibson_laura	Laura	Gibson		2022	uni-london-kcl
oreglia_elisa	Elisa	Oreglia		2022	uni-london-kcl
brenner_leon	Leon	Brenner		2025	uni-bochum uni-iu-berlin
everitt_katherine	Katherine	Everitt		2025	self-employment
