Text;Size;Color;Angle;Font;Repeat;URL
Data;273;Random;Random;Random;No;
Analysis;240;Random;Random;Random;No;
Text;168;Random;Random;Random;No;
Research;119;Random;Random;Random;No;
Digital;105;Random;Random;Random;No;
Studies;101;Random;Random;Random;No;
History;100;Random;Random;Random;No;
Historical;90;Random;Random;Random;No;
Cultural;85;Random;Random;Random;No;
Methods;78;Random;Random;Random;No;
Language;74;Random;Random;Random;No;
Computational;74;Random;Random;Random;No;
Linguistics;71;Random;Random;Random;No;
Heritage;71;Random;Random;Random;No;
Literary;63;Random;Random;Random;No;
Visualization;52;Random;Random;Random;No;
Learning;46;Random;Random;Random;No;
Modeling;45;Random;Random;Random;No;
Technology;44;Random;Random;Random;No;
Literature;44;Random;Random;Random;No;
Art;44;Random;Random;Random;No;
Machine;37;Random;Random;Random;No;
Media;35;Random;Random;Random;No;
Medieval;35;Random;Random;Random;No;
Management;34;Random;Random;Random;No;
Archaeology;33;Random;Random;Random;No;
Open;32;Random;Random;Random;No;
Processing;32;Random;Random;Random;No;
Artificial;32;Random;Random;Random;No;
Intelligence;32;Random;Random;Random;No;
Interdisciplinary;31;Random;Random;Random;No;
German;31;Random;Random;Random;No;
Texts;30;Random;Random;Random;No;
Information;29;Random;Random;Random;No;
Social;28;Random;Random;Random;No;
Textual;27;Random;Random;Random;No;
Editing;27;Random;Random;Random;No;
Knowledge;27;Random;Random;Random;No;
Tools;27;Random;Random;Random;No;
Preservation;26;Random;Random;Random;No;
Science;26;Random;Random;Random;No;
Academic;26;Random;Random;Random;No;
Collaboration;25;Random;Random;Random;No;
Scholarly;25;Random;Random;Random;No;
Network;25;Random;Random;Random;No;
Education;24;Random;Random;Random;No;
Digitization;24;Random;Random;Random;No;
Models;24;Random;Random;Random;No;
Infrastructure;23;Random;Random;Random;No;
Image;23;Random;Random;Random;No;
Ancient;23;Random;Random;Random;No;
Networks;22;Random;Random;Random;No;
Virtual;22;Random;Random;Random;No;
3d;22;Random;Random;Random;No;
Corpus;22;Random;Random;Random;No;
Communication;21;Random;Random;Random;No;
Culture;21;Random;Random;Random;No;
Metadata;20;Random;Random;Random;No;
Online;20;Random;Random;Random;No;
Annotation;20;Random;Random;Random;No;
Linguistic;20;Random;Random;Random;No;
Quantitative;20;Random;Random;Random;No;
Recognition;20;Random;Random;Random;No;
Visual;20;Random;Random;Random;No;
Software;19;Random;Random;Random;No;
Archives;19;Random;Random;Random;No;
Ai;19;Random;Random;Random;No;
Narrative;18;Random;Random;Random;No;
Design;17;Random;Random;Random;No;
Linked;17;Random;Random;Random;No;
Edition;17;Random;Random;Random;No;
Reading;16;Random;Random;Random;No;
Editions;16;Random;Random;Random;No;
Access;16;Random;Random;Random;No;
Scholarship;16;Random;Random;Random;No;
Humanities;16;Random;Random;Random;No;
Natural;16;Random;Random;Random;No;
Project;16;Random;Random;Random;No;
Representation;15;Random;Random;Random;No;
Database;15;Random;Random;Random;No;
Change;15;Random;Random;Random;No;
Reconstruction;15;Random;Random;Random;No;
Computer;15;Random;Random;Random;No;
Gender;15;Random;Random;Random;No;
Mining;14;Random;Random;Random;No;
Spatial;14;Random;Random;Random;No;
Literacy;14;Random;Random;Random;No;
Web;14;Random;Random;Random;No;
Manuscripts;13;Random;Random;Random;No;
Technologies;13;Random;Random;Random;No;
Reality;13;Random;Random;Random;No;
Museums;13;Random;Random;Random;No;
Century;13;Random;Random;Random;No;
Documentation;13;Random;Random;Random;No;
Theory;13;Random;Random;Random;No;
Latin;12;Random;Random;Random;No;
University;12;Random;Random;Random;No;
Resources;12;Random;Random;Random;No;
Transformation;12;Random;Random;Random;No;
Tei;12;Random;Random;Random;No;
Documents;12;Random;Random;Random;No;
Public;12;Random;Random;Random;No;
Semantic;12;Random;Random;Random;No;
Integration;12;Random;Random;Random;No;
Corpora;12;Random;Random;Random;No;
Encoding;12;Random;Random;Random;No;
Challenges;12;Random;Random;Random;No;
Library;11;Random;Random;Random;No;
Urban;11;Random;Random;Random;No;
User;11;Random;Random;Random;No;
Experience;11;Random;Random;Random;No;
Databases;11;Random;Random;Random;No;
Interpretation;11;Random;Random;Random;No;
Music;11;Random;Random;Random;No;
Xml;11;Random;Random;Random;No;
Engagement;10;Random;Random;Random;No;
Gis;10;Random;Random;Random;No;
Philology;10;Random;Random;Random;No;
Interoperability;10;Random;Random;Random;No;
