lecture-series-name,country-1,country-1_venue-1,country-1_venue-2,country-2,country-2_venue-1,country-2_venue-2,country-3,country-3_venue-1,start-year,end-year,main-url
ACDH-CH Lectures,Austria,Vienna,,,,,,,2015,,https://www.oeaw.ac.at/de/acdh/newsevents/event-reihen/acdh-ch-lectures
Dazzling Data: Digital Humanities in der Mediävistik und Frühneuzeitforschung,Austria,Salzburg,,,,,,,2023,2024,https://izmf-salzburg.at/2023/09/12/ringvorlesung-2023-24-dazzling-data/
The Digital Humanities Guest Lecture Series / Introduction to Digital Humanities,Austria,Vienna,,,,,,,2019,,https://web.archive.org/web/20250213134407/https://dh.univie.ac.at/en/announcements/single-view/news/digital-humanities-guest-lecture-series-2019/
Colloquium in Digital Cultural Heritage,Germany,Cologne,,,,,,,2018,,https://dhc.hypotheses.org/uebersicht-der-semesterprogramme
Digital Humanities – Aktuelle Forschungsthemen,Germany,Cologne,,,,,,,2015,,https://dhc.hypotheses.org/uebersicht-der-semesterprogramme
Digital Humanities: Die digitale Transformation der Geisteswissenschaften,Germany,Berlin,,,,,,,2017,2018,https://web.archive.org/web/20210128125418/https://dhd-blog.org/?p=8333
I2SC Lecture Series,Germany,Saarbrücken,,,,,,,2024,,https://www.i2sc.net/events/past-events/i2sc-lecture-series-summer-2024
Perspektiven der Digitalen Geistes- und Sozialwissenschaften,Germany,Erlangen,Nuremberg,,,,,,2014,2015,https://www.izdigital.fau.de/perspektiven-der-digitalen-geistes-und-sozialwissenschaften/
Geisteswissenschaften und Informatik im Dialog. Aktuelle Perspektiven der Digital Humanities,Germany,Saarbrücken,Trier,,,,,,2021,2022,https://www.uni-saarland.de/fachrichtung/musikwissenschaft/institut/veranstaltungen.html
Digital Humanities. Medienwissenschaftliche Perspektiven – Mediävistische Schlaglichter,Germany,Freiburg,,,,,,,2021,2022,https://web.archive.org/web/20220124190036/https://www.mittelalterzentrum.uni-freiburg.de/ringvorlesung-maz
Lecture Series Data Science,Germany,Bielefeld,,,,,,,2017,,https://www.uni-bielefeld.de/einrichtungen/bicdas/more/lecture-series/
Informationswissenschaft und Digital Humanities,Germany,Düsseldorf,,,,,,,2022,2022,https://www.ling.hhu.de/bereiche-des-institutes/abteilung-fuer-informationswissenschaft/ringvorlesungen
"Digital Humanities: Grundlagen, Methoden und Reflexion in interdisziplinärer Perspektive",Germany,Hamburg,,,,,,,2024,2025,https://www.zfw.uni-hamburg.de/oeffentliche-vortraege/programm-wise/10-digital-humanities
Overcoming Obstacles in Digital Humanities,Germany,Berlin,,,,,,,2024,2024,https://www.mpiwg-berlin.mpg.de/page/overcoming-obstacles-digital-humanities
DHSS Vortragsreihe,Germany,Erlangen,Nuremberg,,,,,,2023,2024,https://www.dhss.phil.fau.de/2023/11/03/einladung-zur-dhss-vortragsreihe/
Einführung in die Digital Humanities,Germany,Münster,,,,,,,2022,2022,https://www.uni-muenster.de/Religion-und-Politik/aktuelles/2022/News_Vorlesungsreihe_dh.shtml
Kulturwissenschaften und Digital Humanities. Konzeptionelle Annäherungen,Germany,Vechta,,,,,,,2023,2023,https://www.evifa.de/de/assets/news/meldungen/kalender-news/kulturwissenschaften-und-digital-humanities
Vortragsreihe „Code & Kultur“,Germany,Potsdam,,,,,,,2024,,https://www.uni-potsdam.de/de/digital-humanities/aktivitaeten/code-and-culture-lecture-series
Digital Humanities – Theorie und Methodik,Germany,Leipzig,,,,,,,2014,,https://home.uni-leipzig.de/burr/Digital_Humanities/veranstaltungen.htm
Offenes Master-Kolloquium Digital Humanities,Germany,Stuttgart,,,,,,,2024,,https://www.ilw.uni-stuttgart.de/lehre/digital-humanities/mastertagungen/
Digital Humanities in den Geisteswissenschaften / Digitale Geisteswissenschaften,Germany,Stuttgart,,,,,,,2015,2020,https://web.archive.org/web/20250421195846/http://web.archive.org/screenshot/https://dhd-blog.org/?p=5770
"Digital Humanities: Anwendungsbereiche, Möglichkeiten, Werkzeuge",Germany,Tübingen,,,,,,,2024,,https://timms.uni-tuebingen.de/List/List?id=UT_2024_____001_sose24digithuman_000_
Phänomenologie der Digital Humanities,Germany,Berlin,,,,,,,2021,,https://wikis.fu-berlin.de/spaces/phaenodh/pages/1253344982/Kolloquium+%C2%BBPh%C3%A4nomenologie+der+Digital+Humanities%C2%AB+Wintersemester+2021+2022
DH-Kolloquium an der BBAW,Germany,Berlin,,,,,,,2017,,https://www.bbaw.de/bbaw-digital/dh-kolloquium
Grundlagen und anwendungsorientierte Methoden der Digital Humanities,Germany,Dresden,,,,,,,2022,,https://tu-dresden.de/gsw/studium/studienbuero/dhgsw/lehrveranstaltungen
"Digital Humanities im Fokus: Methoden, Anwendungen und Perspektiven",Germany,Rostock,,,,,,,2023,,https://www.germanistik.uni-rostock.de/forschung/digital-humanities/rosdh/ringvorlesung/
Cultural Heritage in the Digital Age,Switzerland,Basel,,,,,,,2023,,https://dg.philhist.unibas.ch/fileadmin/user_upload/dg/Aktuelles/Ringvorlesungen/FS23_Cultural_Heritage_lectureseries_program.pdf
DH Seminars,Switzerland,Lausanne,,,,,,,2015,2023,https://www.epfl.ch/schools/cdh/research-2/dhi/dh-events/
Einblicke in die Digital Humanities,Switzerland,Bern,,,,,,,2020,,https://einblicke.hypotheses.org/
