speaker-name,number-of-lectures
'0000-0002-0692-0022',1
'0009-0003-4554-3711',1
'0000-0002-4294-9017',1
'Q126691631',1
'Q126691718',1
'Q126691720',1
'0000-0002-7190-2090',1
'Q126691702',1
'Q126594970',1
'0009-0001-3133-6282',1
'0000-0002-6801-1895',1
'0000-0002-1536-3854',1
'Q126593674',1
'0000-0001-8676-9256',1
'0009-0000-8939-6723',1
'Q126691716',1
'0000-0001-7499-9345',1
'Q126691747',1
'0000-0003-4719-9056',1
'0000-0001-6498-7236',1
'0000-0001-7982-6259',1
'0000-0002-3807-3681',1
'Q126691775',1
'Q126594983',1
'Q126592286',1
'Q30225226',1
'Q126593823',1
'0000-0003-1955-0179',1
'0009-0007-5538-8160',1
'Q109288493',1
'0000-0002-8353-7609',1
'0009-0007-0790-8192',1
'0000-0001-8404-5879',1
'Q126594936',1
'Q126593532',1
'Q126691650',1
'0009-0003-5629-1935',1
'0009-0000-2878-2444',1
'0000-0001-6870-3798',1
'Q99393941',1
'Q126691751',1
'Q126691752',1
'Q126691753',1
'Q112453984',1
'Q126691755',1
'0000-0002-0309-8715',1
'0000-0002-8509-7651',1
'0000-0002-3993-6389',1
'0009-0002-9658-6482',1
'0000-0002-0438-8829',1
'0000-0001-7087-4414',1
'0000-0002-6460-3404',1
'0000-0002-1054-0727',1
'0000-0003-0621-5478',1
'0009-0001-4256-8820',1
'0000-0003-0011-1387',1
'0000-0001-8218-2183',1
'Q132958837',1
'0000-0002-0681-7711',1
'0000-0003-0838-6457',1
'Q126593833',1
'Q126593838',1
'0000-0002-9441-3396',1
'Q126691705',1
'0000-0002-5517-8207',1
'0000-0001-8038-8081',1
'Q126598151',1
'Q126594978',1
'Q126594979',1
'Q126599579',1
'0000-0002-1203-2988',1
'0000-0003-0609-4549',1
'0009-0001-6084-7233',1
'0000-0002-1407-7979 ',1
'0000-0003-0409-9223',1
'0000-0002-0238-8657',1
'0000-0002-6727-0297',1
'Q126596296',1
'0000-0001-8526-2613',1
'0000-0002-3382-8600',1
'0000-0002-5901-9633',1
'0000-0003-0544-4877',1
'Q126691750',1
'0000-0003-3143-6184',1
'Q108731363',1
'0009-0008-9673-2615',1
'0009-0000-0582-9510',1
'0000-0002-1070-4947',1
'0000-0001-5971-6415',1
'Q126691733',1
'0000-0002-0685-2373',1
'0000-0001-5194-5053',1
'0000-0003-1401-6487',1
'0000-0003-0831-1738',1
'0000-0003-1031-6327',1
'0000-0002-0406-7777',1
'0000-0002-5854-3484',1
'Q126691712',1
'0000-0002-1984-7389',1
'Q126691713',1
'Q126691714',1
'0000-0003-3727-4622',1
'0000-0001-5319-218X',1
'0000-0003-4139-8687',1
'Q126598137',1
'0000-0002-5739-4472',1
'0000-0002-7245-9406',1
'Q126691703',1
'Q113736345',1
'Q126691777',1
'0009-0005-0044-6410',1
'Q126691762',1
'Q126691763',1
'Q126691764',1
'0009-0006-9173-0392',1
'0000-0001-7117-9827',1
'Q126598125',1
'0000-0001-9156-4183',1
'Q126691711',1
'Q126691767',1
'0000-0001-9657-6052',1
'Q126691781',1
'Q95339974',1
'Q126691782',1
'0000-0002-5953-6622',1
'0000-0002-0343-1135',1
'Q95345726',1
'0000-0003-3460-9896',1
'Q126691784',1
'Q95207534',1
'Q95339065',1
'Q113809307',1
'0000-0002-8688-7508',1
'0000-0003-0581-0195',1
'0000-0002-9370-1572',1
'0000-0003-2737-9068',1
'0000-0002-6790-232X',1
'Q1769175',1
'0009-0004-4032-5210',1
'0000-0001-8848-1977',1
'0000-0003-3192-4495',1
'0009-0005-7315-6852',1
'0000-0002-9867-5588',1
'Q126598148',1
'0009-0000-3639-7167',1
'Q1665290',1
'Q63967064',1
'0000-0003-0387-2827',1
'0000-0001-6750-5351',1
'0000-0003-3504-9675',1
'0000-0001-6072-4703',1
'0000-0001-5986-9382',1
'0009-0002-4241-0043',1
'0000-0002-2733-2959',1
'Q126691623',1
'Q126595894',1
'Q126691778',1
'Q126691779',1
'0000-0002-7113-7464',1
'0000-0002-5408-5287',1
'0000-0001-9442-5402',1
'0009-0003-8938-4994',1
'0009-0009-3107-0080',1
'0000-0003-2697-2046',1
'Q126691758',1
'0000-0002-7611-7577',1
'0000-0002-2121-5823',1
'Q126593751',1
'0000-0003-2682-8933',1
'0000-0001-6692-0713',1
'Q126691737',1
'Q126594972',1
'0000-0002-8572-7836',1
'Q126691730',1
'Q79119724',1
'0009-0005-8546-9629',1
'0009-0008-9370-1303',1
'0000-0001-7853-369X',1
'0000-0002-4554-0874',1
'0009-0002-7571-801X',1
'Q126594900',1
'Q126691731',1
'Q126593733',1
'0000-0001-5200-8870',1
'Q126691717',1
'0000-0002-0744-5374',1
'Q126593755',1
'Q126598143',1
'Q126691774',1
'Q95904454',1
'0000-0003-3035-2413',1
'0000-0001-6394-9342',1
'0000-0002-8941-698X',1
'0000-0001-7698-6118',1
'0000-0002-9853-8903',1
'0009-0008-4066-0130',1
'0009-0007-9737-5886',1
'0000-0001-7207-0356',1
'0000-0002-8310-2015',1
'Q112554125',1
'0000-0002-2020-1323',1
'0000-0002-6982-7909',1
'Q126599592',1
'0000-0001-9139-1577',1
'0000-0001-5718-2202',1
'Q51532470',1
'0009-0004-1501-8809',1
'Q126691800',1
'0000-0002-9013-4461',1
'0000-0002-3716-0177',1
'0000-0003-1510-5131',1
'0000-0001-6629-7781',1
'Q126691806',1
'Q126595898',1
'Q126594990',1
'Q56192020',1
'Q126593915',1
'Q126598160',1
'Q126598158',1
'0000-0003-3642-1264',1
'0009-0006-5481-8803',1
'0009-0006-6059-755X',1
'Q126691808',1
'0000-0001-5944-2434',1
'0000-0001-5033-6723',1
'Q126691794',1
'Q126691795',1
'Q126594988',1
'Q126691815',1
'0000-0003-2053-5347',1
'0000-0003-3307-5386',1
'0000-0003-2351-930X',1
'0000-0003-4500-7778',1
'Q126595899',1
'Q126691796',1
'0000-0001-7587-9193',1
'Q89707900',1
'0000-0002-6291-7100',1
'0009-0008-2074-1427',1
'0000-0002-7385-5654',1
'0009-0001-8279-3299',1
'Q126691825',1
'0000-0003-2187-7621',1
'Q64019466',1
'0000-0002-5263-5783',1
'0000-0001-8590-9827',1
'0000-0003-2484-4331',1
'0000-0001-7484-2049',1
'0000-0002-6039-6372',1
'Q126691818',1
'0000-0002-3228-316X',1
