speaker-name,number-of-lectures
Moritz Hoffmann,1
Elena Parina,1
Franz Fischer,1
Katja Diederichs,1
Tim Geelhaar,1
Peter Dängeli,1
Marko Demantowsky,1
Frank Hentschel,1
Tobias Hodel,1
Fabian Cremer,1
Ray Siemens,1
Laia Pujol,1
Randa El Khatib,1
Sarah Schulz,1
Jan Kirschbaum,1
Thomas Wikman,1
Felix Rau,1
Francisco Mondaca,1
Andreas Mertgens,1
Nasrin Saef,1
Patrick Helling,1
Vincent Christlein,1
Christian Chiarcos,1
Maxim Ionov,1
Elena Pierazzo,1
Michael Sperberg-McQueen,1
Björn Klein,1
Dennis Demmer,1
Chiara Palladino,1
Farimah Karimi,1
Nadine Oberste-Hetbleck,1
Jan Bigalke,1
Sviatoslav Drach,1
Adrian Pohl,1
Pascal Christoph,1
Fabian Steeg,1
Jens Peters,1
Fabian Offert,1
Janis Pagel,1
Andrea Lorenz,1
Mia Berg,1
Mihailo Popović,1
Bernhard Koschiček-Krombholz,1
Manfred Stede,1
Pedro Santos,1
Vera Grund,1
Henner Drewes,1
Andreas Münzmay,1
Heike Messemer,1
Oliver Schrader,1
Sebastian Gassmann,1
Claudia Sode,1
Alessio Sopracasa,1
Klaus Heusinger,1
Massoomeh Niknia,1
Pablo Ruiz Fabo,1
Weixuan Li,1
Mirella De Sisto,1
Daniel Cremer,1
Ute Verstegen,1
Daniel Berger,1
Loic Boizou,1
N. Katherine Hayles,1
Roman Klinger,1
Teresa Kamencek,1
Aleksandra Lipińska,1
Tobias Mercer,1
Sebastian Cuy,1
Cristina Marras,1
Mona Hess,1
Aleš Vaupotič,1
Daniel Wickeroth,1
Lena Tambs,1
Irmela Herzog,1
Patricia Martin-Rodilla,1
Steve Stead,1
Daniel Graña-Behrens,1
Sara Perry,1
Jan Assmann,1
Jan Kenter,1
Stefanie Läpke,1
Andrea Giordano,1
Florian Janoscha Kreppner,1
Nadezhda Povroznik,1
Verónica Paula Gómez,1
Michael Remmy,1
Valentina Hiseni,1
Dominik Kruhl,1
Christian Theisen,1
Joanna Byszuk,1
Elton Barker,1
Andrew Reinhard,1
Jasmin Bieber,1
Jonas Bruschke,1
Cindy Kröber,1
Iris Kramer,1
Alexandre Vanautgaerden,1
Julianne Nyhan,1
Andreas Noback,1
Nicholas Gestrich,1
Ulrich Lang,1
Elisa Roßberger,1
Alex Brandsen,1
Willard McCarty,1
Gioele Barabucci,1
Raissa Garozzo,1
Anja Wutte,1
Marcel Schaeben,1
Aris Politopoulos,1
Fabrício Ferraz Gerardi,1
Bruno Barreto,1
Lutz Schubert,1
Stephen Stead,1
Heiko Prümers,1
Lukas Lammers,1
Vyshantha Simha,1
Liam Downs-Tepper,1
Giacomo Landeschi,1
Mila Oiva,1
Chris Deligio,1
Hendrik Hameeuw,1
Tim Kerig,1
Arianna Ciula,1
Daniel Jettka,1
Anne Ferger,1
Torsten Roeder,1
Helena Bermúdez Sabel,1
Antje Theise,1
Max Schröder,1
Manuela Reichelt,1
Anja Eggert,1
Jorge Uribe,1
Pedro Sepúlveda,1
Inês Rebelo do Carmo,1
Karsten Labahn,1
Marc Lemke,1
Nils Kellner,1
Petra Himstedt-Vaid,1
Holger Meyer,1
Andy Räder,1
Caroline Müller,1
Mark Hall,1
Milan Kostrešević,1
Soham Al-Suadi,1
,1
Philipp Pilhofer,1
Martin Wagner,1
Stefan Höltgen,1
Alexander Vandewalle,1
Julián Spinelli,1
Torsten Veit,1
Clemens Cap,1
,1
Stefan Kroll,1
Johann-Christian Põder,1
Jana-Katharina Mende,1
Katrin Dennerlein,1
Deb Verhoeven,1
Hanna Fischer,1
Luca Giovannini,1
Cordula Greinert,1
Marijana Tomić,1
Gimena Rio Riande,1
Pedro Nilsson-Fernàndez,1
Martina Scholger,1
Allison Keith,1
Hermann Diebel-Fischer,1
Kerstin Schankweiler,1
Andreas Rutz,1
Peter Uhrig,1
Anne Klammt,1
Stephanie Zloch,1
Mathias Herrmann,1
Martin Reimer,1
,1
Anne-Marie Lachmund,1
Simon Razniewski,1
Ralf Christoph,1
Anna Mattern,1
Maren Hachmeister,1
Thomas Koehler,1
Nadine Schaarschmidt,1
Burkhard Meyer-Sickendiek,1
Hussein Hussein,1
Frederike Neuber,1
Johannes Baiter,1
Hartmut Schirmacher,1
Redmer Kronemeijer,1
Tobias Simon,1
Alex Fry,1
Roy Gardner,1
Jonas Müller-Laackman,1
Oliver Pohl,1
Julian Jarosch,1
Ulrike Wuttke,1
Jochen Klar,1
Martin Grötschel,1
Franziska Diehr,1
Peer Trilcke,1
Anna Busch,1
Mark-Jan Bludau,1
Annelen Brunner,1
Alexander Geyken,1
Julia Naji,1
Günter Mühlberger,1
Frederik Arnold,1
Benjamin Fiechter,1
Robert Jäschke,1
Steffen Martus,1
Chris Biemann,1
Sabine Schulte im Walde,1
Katrin Henzel,1
Ulf Hamster,1
Holger Helbig,1
Andreas Vogeler,1
Matthias Boenig,1
Marius Hug,1
Nico Dorn,1
Volker Harm,1
Nathalie Mederake,1
Kerstin Meyer-Hinrich,1
Nils Diewald,1
Marc Kupietz,1
Andreas Nolda,1
Roman Schneider,1
Adrien Barbaresi,1
Lothar Lemnitzer,1
Thomas Gloning,1
Konstanze Marx,1
Christian Reul,1
Timm Lehmberg,1
Oliver Corff,1
Simone Franz,1
Hannes Bajohr,1
Florian Barth,1
Tillmann Doenicke,1
Cord Pagenstecher,1
Philipp Bayerschmidt,1
Tim Westphal,1
Marco Santi,1
Mario Romero Tormo,1
Dîlan Canan Çakir,1
Boris Orekhov,1
Silvia Gutiérrez,1
Benjamin Herbst,1
Tinghui Duan,1
Lena Wontorra,1
Maximilian Noichl,1
Sarah Lang,1
Annette Stockhausen,1
Charles Pence,1
Federica Iurescia,1
Maria Chiara Parisi,1
Rachele Sprugnoli,1
Jonah Lubin,1
Lea Schäfer,1
Dario Rodighiero,1
Agnes Hilger,1
Antonia Murath,1
Johanna Grünler,1
Annalena Hiergeist,1
Nikolai Wolle,1
Andrea Beyer,1
Konstantin Schulz,1
Mark Schwindt,1
Charlotte Panušková,1
Johannes Hercher,1
Birgit Rehse,1
Ashleigh Harris,1
Michael Falk,1
Laura Untner,1
Daniele Metilli,1
Gabrielle Desmet,1
Sarah Rebecca Ondraszek,1
Steffen Patzold,1
Markus Wust,1
Andrea Worm,1
Eleanor Goerss,1
Roman Bleier,1
Kevin Körner,1
Asya Achimova,1
Marion Darilek,1
Daniel Raffini,1
Cassidy Croci,1
Stefan Krmnicek,1
Hanno Ehrlicher,1
Stephan Dusil,1
Corwin Schnell,1
Michaela Mahlberg,1
Michael Göggelmann,1
David Jefferson Amelang López,1
Erwin Feyersinger,1
Peter Scholz,1
Steffen Koch,1
,1
Klaus Hentschel,1
Torsten Himel,1
Stefan Pernes,1
Manuel Braun,1
Nora Echelmeyer,1
Thomas Rainsford,1
Andreas Haka,1
Mark Gerstorfer,1
Fabian Bross,1
Reinhard Krüger,1
Beatrice Nickel,1
Marcus Willand,1
Karolina Vukojevic-Haupt,1
Jan-Peter Ostberg,1
Uwe Breitenbücher,1
Peter Reimann,1
Daniel Fett,1
Lars Lischke,1
Frank Dürr,1
Oliver Kopp,1
Matthias Wieland,1
,1
Lukas Fleischer,1
Hartmut Knopp,1
Andreas Kaminski,1
Heinz Werner Kramski,1
Maria Männig,1
Johannes Schmidt,1
Claude Draude,1
Elisabetta Mengaldo,1
Rostislav Tumanov,1
Raphael Heiberger,1
José Calvo Tello,1
Claus-Michael Schlesinger,1
Peter Hinkelmanns,1
Maximiliam Hadersbeck,1
Astrid Ensslin,1
Josephine Diecke,1
Mark Spoerer,1
Larissa Fritz,1
Maria José Afanador,1
Luise Borek,1
Johanna Barzen,1
Sebastian Padó,1
Nora Ketschik,1
Neele Falk,1
Axel Pichler,1
Arsenije Bogdanović,1
Hans Goebl,1
Thomas Krefeld,1
Maurizio Lana,1
Alejandro Bia Platas,1
Diane Jakacki,1
Oleg Sobchuk,1
Lev Manovich,1
Jan Rybicki,1
Agata Hołobut,1
Anastasia Glawion,1
John Dawson,1
Leonard Konle,1
James David Porter,1
Katherine Bode,1
Mike Fortun,1
Rebecca Carlson,1
Jan Keupp,1
Claudia Bamberg,1
Franziska Naether,1
Dirk Goldhahn,1
Torsten Hiltmann,1
Franziska Ehrl,1
Michelle Pfeifer,1
Sabine Timpf,1
Jacqueline Klusik-Eckert,1
Daniel Görres,1
Rebekah Higgitt,1
Jade Norindr,1
Vera Moitinho de Almeida,1
Mathieu Aubry,1
Pierre Willaime,1
Corinna Reinhardt,1
Melanie Andresen,1
Mari Akazawa,1
Indira Sen,1
Tobias Siebenlist,1
Kevin Tang,1
Ute Olliges-Wieczorek,1
Dirk Fleischer,1
Regina Schober,1
Silke Schwandt,1
Johannes Blömer,1
Thomas Hermann,1
Odile Sauzet,1
Achim Streit,1
Christiane Fuchs,1
Philipp Cimiano,1
Alexander Sczyrba,1
Karsten Lübke,1
Claus Weihs,1
Jan Goebel,1
Dietmar Bauer,1
Andreas Henrich,1
Tobias Schäfers,1
