name,surname,forename,orcid,wikidata
"Abrami, Giuseppe",,,0000-0002-7084-4909,
"Abrami, Giuseppe",,,,
"Abrami, Giuseppe",,,,
"Achmann-Denkler, Michael",,,,
"Achmann, Michael",,,0000-0002-4754-7842,
"Achmann, Michael",,,0000-0002-4754-7842,
"Achmann, Michael",,,0000-0002-4754-7842,
"Adam, Raven",,,0000-0001-7841-2601,
"Adamczak, Katarzyna",,,,
"Adelmann, Benedikt",,,,
"Adelmann, Benedikt",,,,
"Adelmann, Benedikt",,,,
"Adrian, Dominik",,,,
"Aehnlich, Barbara",,,0000-0003-1492-7766,
"Aehnlich, Barbara",,,,
"Aehnlich, Barbara",,,,
"Aehnlich, Barbara",,,,
"Agt-Rickauer, Henning",,,,
"Ahmed, Sajawel",,,,
"Ajouri, Philip",,,,
"Akazawa, Mari",,,,
"Akhlaq, Sara",,,0000-0002-7356-7492,
"Akkermann, Miriam",,,0000-0001-7154-7917,
"Al-Eryani, Susanne",,,0000-0002-1741-1645,
"Albani, Benedetta",,,,
"Albers, Laura",,,,
"Albrecht-Hohmaier, Martin",,,,
"Albrecht, Jens",,,,
"Alemayehu, Hizkiel",,,,
"Alexiadou, Artemis",,,,
"Alscher, Stefan",,,,
"Alschner, Stefan",,,0000-0001-8509-8171,
"Altenhöner, Reinhard",,,0000-0001-8274-780X,
"Althage, Melanie",,,0000-0001-5233-1061,
"Althage, Melanie",,,0000-0001-5233-1061,
"Althage, Melanie",,,0000-0001-5233-1061,
"Althof, Daniel",,,,
"Althof, Daniel",,,,
"Altmann, Friederike",,,,
"Alvares Freire, Fernanda",,,0000-0002-6414-5212,
"Aman, Anastasija",,,,
"Amini, Seyavash",,,,
"Amrhein, Kilian",,,0000-0003-3459-3898,
"Andorfer, Peter",,,0000-0002-9575-9372,
"Andorfer, Peter",,,,
"Andorfer, Peter",,,,
"Andorfer, Peter",,,,
"Andorfer, Peter",,,,
"Andorfer, Peter",,,,
"Andorfer, Peter",,,,
"Andorfer, Peter",,,,
"Andraschke, Udo",,,,
"Andresen, Melanie",,,0000-0002-3913-1273,
"Andresen, Melanie",,,0000-0002-3913-1273,
"Andresen, Melanie",,,0000-0002-3913-1273,
"Andresen, Melanie",,,0000-0002-3913-1273,
"Andresen, Melanie",,,,
"Andresen, Melanie",,,,
"Andresen, Melanie",,,,
"Andrews, Tara",,,0000-0001-6930-3470,
"Andrews, Tara Lee",,,,
"Angelika, Storrer",,,,
"Annisius, Marie",,,,
"Anokhina, Alexandra",,,,
"Aoun, Sandy",,,,
"Ardesi, Denise",,,,
"Arndt, Nadine",,,0000-0002-2257-7236,
"Arnold, Eckhart",,,0000-0002-1138-499X,
"Arnold, Eckhart",,,0000-0002-1138-499X,
"Arnold, Eckhart",,,,
"Arnold, Frederik",,,0000-0002-0417-4054,
"Arnold, Matthias",,,0000-0003-0876-6177,
"Artika, Farah",,,,
"Asabidi, Ruslan",,,,
"Aschauer, Anna",,,,
"Aschauer, Anna",,,,
"Atzenhofer-Baumgartner, Florian",,,,
"Axel, Herold",,,,
"Babl, Anna-Lena",,,,
"Babl, Florian",,,,
"Baddack, Cornelia",,,,
"Badura, Robert",,,0000-0001-8048-6271,
"Baedke, Jan",,,,
"Baglatzi, Alkyoni",,,,
"Baierer, Konstantin",,,0000-0003-2397-242X,
"Baierer, Konstantin",,,0000-0003-2397-242X,
"Baierer, Konstantin",,,,
"Baillot, Anne",,,0000-0002-4593-059X,
"Baillot, Anne",,,0000-0002-4593-059X,
"Baillot, Anne",,,,
"Baillot, Anne",,,,
"Baillot, Anne",,,,
"Baillot, Anne",,,,
"Baillot, Anne",,,,
"Baillot, Anne",,,,
"Baillot, Anne",,,,
"Baillot, Anne",,,,
"Balasubramanian, Saranya",,,,
"Balbach, Nico",,,,
"Balck, Sandra",,,0000-0002-0573-3911,
"Balck, Sandra",,,0000-0002-0573-3911,
"Balck, Sandra",,,,
"Bald, Markus",,,,
"Bamberg, Claudia",,,0000-0001-6453-8457,
"Bamberg, Claudia",,,0000-0001-6453-8457,
"Bamberg, Claudia",,,,
"Bamberg, Claudia",,,,
"Bamberg, Claudia",,,,
"Barabucci, Gioele",,,,
"Barbaresi, Adrien",,,0000-0002-8079-8694,
"Barbaresi, Adrien",,,,
"Barbera, Roberto",,,,
"Barbot, Laure",,,0000-0002-6008-7959,
"Baresch, Ariadne",,,,
