speaker-name,number-of-lectures
Giovanni Donadelli,1
Shi Xie,1
Francesco Ferrarese,1
Teresa Bernardi,1
Daniel Zilio,1
Elisabetta Novello,1
Marco Chemello,1
Monica Monachini,1
Marina Buzzoni,1
Carolina Fernández-Castrillo,1
Paolo Monella,1
Alberto Campagnolo,1
Francesca Tomasi,1
Daniele Fusi,1
Rodolfo Delmonte,1
Marie Redmond,1
Barbara Tramelli,1
Leonardo Campus,1
Diego Mantoan,1
Tanya Evans,1
Joris van Zundert,1
Sarah May,1
Samuel J Huskey,1
Abhishek Dutta,1
Matilde Malaspina,1
Ernesto Priego,1
Marta Severo,1
Michael B. Toth,1
Fabrizio Nevola,1
Erma Hermens,1
Maurizio Forte,1
Tiziana Mancinelli,1
Dániel Kiss,1
Alyssa Arbuckle,1
Nicolò Dell’Unto,1
Rita Bernini,1
José María Luzón,1
Maria Cristina Misiti,1
Marilena Daquino,1
Arturo Gallia,1
Ioannis (John) Pavlopoulos,1
Tiago Luís Gil,1
Jean-Baptiste Camps,1
Barbara McGillivray,1
Paolo Berti,1
Agnese Macchiarelli,1
Sean Williams,1
Francesca Dolcetti,1
Ludovica Galeazzo,1
Federica Maietti,1
Emmanuela Carbé,1
Mark Algee-Hewitt,1
Alessandro Lenci,1
Rossana Damiano,1
Ilaria Caloi,1
Federico Bernardini,1
Thomas Cauvin,1
Federico Boschetti,1
Jeroen Kloet,1
Vincent Dziekan,1
Amanda Madden,1
Scott Rettberg,1
Pierre Poulain,1
Olivier Ritz,1
Fabrice Flipo,1
Camille Bloomfield,1
Elsa Tadier,1
Ronan Ysebaert,1
Karine Abiven,1
Alexandre Bartz,1
Côme Saignol,1
Alice Borgna,1
Georges Da Costa,1
Eugène Gherardi,1
Céline Bohnert,1
Anne Garcia-Fernandez,1
Léa Saint-Raymond,1
Anne Réach-Ngô,1
Christophe Luzi,1
Théodora Balmon,1
Linda Piazza,1
Reinhard Messerschmidt,1
Sascha Diwersy,1
Moritz Hoffmann,1
Elena Parina,1
Frederik Elwert,1
Tim Geelhaar,1
Johannes Daxenberger,1
Peter Dängeli,1
Marko Demantowsky,1
Frank Hentschel,1
Tobias Hodel,1
Fabian Cremer,1
Laia Pujol,1
Randa El Khatib,1
Sarah Schulz,1
Jan Kirschbaum,1
Thomas Wikman,1
Francisco Mondaca,1
Andreas Mertgens,1
Nasrin Saef,1
Patrick Helling,1
Vincent Christlein,1
Christian Chiarcos,1
Maxim Ionov,1
Michael Sperberg-McQueen,1
Björn Klein,1
Dennis Demmer,1
Chiara Palladino,1
Farimah Karimi,1
Nadine Oberste-Hetbleck,1
Jan Bigalke,1
Sviatoslav Drach,1
Adrian Pohl,1
Pascal Christoph,1
Fabian Steeg,1
Jens Peters,1
Sabine Günther,1
Linda Freyberg,1
Özlem Çetinoğlu,1
Maria Effinger,1
Daniel Röwenstrunk,1
Hannah Busch,1
Britta Mischke,1
Marcello Perathoner,1
Adelheid Heftberger,1
Johanna Binnewitt,1
Fabian Offert,1
Janis Pagel,1
Andrea Lorenz,1
Mia Berg,1
Torsten Schrade,1
Mihailo Popović,1
Bernhard Koschiček-Krombholz,1
Manfred Stede,1
Pedro Santos,1
Vera Grund,1
Henner Drewes,1
Andreas Münzmay,1
Heike Messemer,1
Oliver Schrader,1
Sebastian Gassmann,1
Claudia Sode,1
Alessio Sopracasa,1
Alina Ostrowski,1
Klaus Heusinger,1
Massoomeh Niknia,1
Pablo Ruiz Fabo,1
Weixuan Li,1
Mirella De Sisto,1
Daniel Cremer,1
Ute Verstegen,1
Sebastian Cuy,1
Cristina Marras,1
Mona Hess,1
Aleš Vaupotič,1
Daniel Wickeroth,1
Lena Tambs,1
Irmela Herzog,1
Patricia Martin-Rodilla,1
Steve Stead,1
Daniel Graña-Behrens,1
Sara Perry,1
Jan Assmann,1
Jan Kenter,1
Stefanie Läpke,1
Andrea Giordano,1
Florian Janoscha Kreppner,1
Nadezhda Povroznik,1
Verónica Paula Gómez,1
Hubert Mara,1
Michael Remmy,1
Valentina Hiseni,1
Dominik Kruhl,1
Christian Theisen,1
Joanna Byszuk,1
Elton Barker,1
Kai-Christian Bruhn,1
Andrew Reinhard,1
Jasmin Bieber,1
Jonas Bruschke,1
Cindy Kröber,1
Mélanie Roche,1
Stefan Feuser,1
Maximilian Behnert-Brodhun,1
Nina Marie Evensen,1
Francesco Valletta,1
Gabriele Salciute Civiliene,1
Matthias Lang,1
Alin Olteanu,1
Sebastian Hageneuer,1
Daniel Hinz,1
Robert Matthias Erdbeer,1
Marco Block-Berlitz,1
Nina Bonderup Dohn,1
Stig Børsen Hansen,1
Inger-Marie Falgren Christensen,1
Iris Kramer,1
Alexandre Vanautgaerden,1
Julianne Nyhan,1
Andreas Noback,1
Nicholas Gestrich,1
Ulrich Lang,1
Elisa Roßberger,1
