topic,count
distant reading,11
austria,3
empire,2
historiography,4
metadata,21
digital communication,1
museum strategy,1
multimedia products,1
social media impact,1
audience engagement,1
gis,10
historical geography,5
migration,2
china,1
data mining,4
student housing,1
padua,1
historical data,7
spatial representation,2
manuscripts,14
latin classics,1
isaac vossius,1
leiden university library,1
textual transmission,2
geomorphology,1
urban planning,1
historical evolution,1
modeling,9
venice,3
marriage,1
bigamy,1
mobilities,1
early modern,3
user experience,8
museum,1
technology,30
design,4
user-centered,1
oral,1
history,35
research,17
resources,4
interview,2
wikipedia,2
education,19
teaching,2
online collaboration,1
latin,3
library,3
codices,1
vossiani,1
mobile,1
database,13
dissgea,1
sources,1
relational,1
text analysis,83
language resources,2
italian research,1
infrastructure development,1
claria italia,1
philology,5
added value,1
linguistics,26
literature,8
media interaction,1
artistic forms,1
post-medial era,1
immediate perception,1
media archaeology,2
interoperability,9
pre-modern texts,1
textual data,2
ontology,3
transcription,7
bookbindings,1
library catalogues,1
linked open data,8
databases,6
bibliography,1
ecosystem,3
academia,7
transformation,4
projects,2
hate speech,2
cyberbullying,2
islamophobia,1
social networks,4
data collection,6
medieval venice,2
environmental history,1
climate change,6
content editing,1
scholarly editions,3
tei,6
complex documents,1
data analysis,24
speech synthesis,1
poetry analysis,1
prosody,1
text-to-speech,1
shakespeare,1
social media,7
interactive,2
narratives,4
cultural,2
preservation,11
exhibitions,3
historical landscape,1
extreme events,1
digital reconstruction,1
human activity,1
image analysis,11
renaissance,5
book history,1
image retrieval,1
art history,23
fascist italy,1
racial laws,1
television,1
public awareness,1
media representation,1
art management,1
digitization,21
contemporary art,1
art market,1
heritage,11
deindustrialization,1
landscape,3
environmental change,1
algorithms,7
fiction,5
publishing,4
machine learning,36
infrastructure,11
access,2
participation,2
literacy,3
textual criticism,3
digital libraries,1
information visualization,2
illustration,2
search,1
printing history,1
open access,8
comics studies,1
scholarly publishing,2
online engagement,2
journal metrics,1
platforms,1
cultural heritage,53
crowdsourcing,8
methodological frameworks,1
imaging technologies,1
multispectral imaging,1
data management,19
open access.,1
florence,1
mobile app,1
historical tour,1
urban history,4
data visualization,29
museum studies,3
data interpretation,4
object biography,1
archaeology,30
simulation,5
virtual reality,9
data modeling,12
multimodal interaction,1
digital projects,1
research evaluation,1
latin philology,1
digital editions,10
textual scholarship,10
media change,1
catullus,1
publics,1
open scholarship,2
research technologies,1
community practice,1
citizen scholarship,2
3d visualization,1
archaeological data,1
virtual research,2
reflexive analysis,1
software,10
art collections,2
multimedia,5
semantic web,5
data aggregation,3
information quality,1
argumentation,1
source trustworthiness,1
maps,2
geography,2
spatial data,5
public history,1
nlp,5
authorship,1
language modeling,2
historical atlases,1
cartography,4
historical studies,1
text processing,4
deep learning,5
critical editions,2
medieval studies,9
human-ai collaboration,1
language evolution,3
semantic change,1
computational linguistics,21
historical texts,7
data science,5
visualization,18
italian renaissance,1
architecture,4
media ecology,1
hybrid spaces,1
performativity,1
new media art,1
augmented reality,3
medieval latin,1
syntax,1
treebank,1
urban space,1
cognitive impact,1
ancient cities,1
presentism,1
historicism,1
anecdotes,1
public humanities,2
theoretical historiography,1
co-design,1
values,1
participatory design,1
cities,2
geospatial mapping,1
3d modeling,10
cultural preservation,7
european heritage,2
interdisciplinary research,12
born-digital archives,1
literary archives,2
textual condition,1
archival issues,1
methodologies,7
greek islands,1
digital edition,8
geographical entities,1
textual analysis,7
data integration,8
clifi,1
scientific communication,3
computational analysis,8
llms,1
natural language processing,16
epistemology,7
language research,1
storytelling,5
citizen curation,1
emotions,1
inclusion,1
literary studies,21
microct,1
pottery,2
minoan,1
ceramics,1
forming techniques,1
participatory history,1
public engagement,6
interdisciplinary collaboration,4
historical research,6
citizen science,3
neuroscience,1
3d technology,2
ai,13
sme collaboration,1
censorship,1
chinese art,1
visibility,1
politics,4
creative practices,1
museums,12
data literacy,6
cultural sector,1
datafication,3
digital transformation,6
urban violence,1
crime history,1
global,2
local,1
anthology,1
german,8
multimodal,3
ai writing,1
cyborg authorship,1
generative ai,1
narrative writing,1
electronic literature,3
open source,3
libre,1
knowledge,3
archive,2
code,1
unix,1
text format,1
pandoc,1
document creation,1
data manipulation,1
literary research,3
interdisciplinary,11
methods,13
19th century literature,1
tools,11
sustainability,7
legislation,1
environmental impact,1
lifestyle,1
instagram,4
contemporary poetry,1
digital studies,1
media analysis,1
reading practices,2
mobile reading,1
digital literacy,4
text consumption,1
reading technologies,1
programming,5
reproducibility,2
research protocols,1
notebooks,1
autonomomaz,1
automation,7
mazarinades,1
text alignment,1
medite,1
training,2
french,1
text mining,10
historical documents,11
corpus creation,1
pipeline processing,1
early modern period,2
latin texts,2
late antiquity,3
digital library,3
data centers,1
ecological impact,1
energy consumption,1
environmental footprint,1
cybersecurity,2
digital tools,5
risk management,1
professional travel,1
disciplines,1
libraries,6
data,20
digital collections,3
fair principles,6
omeka,1
renaissance mythography,1
text editing,6
encyclopedic corpus,1
project planning,2
collaboration,16
tool integration,1
networks,9
social sciences,4
corpus,3
editorialization,1
text circulation,1
critical edition,1
archives,12
open science,6
research policy,1
corsica,1
documentation,8
digital preservation,4
patrimony,1
accessibility,6
introduction,5
overview,7
basics,2
text definition,1
debate,1
text theory,1
text concept,1
collaborative,1
corpora,3
rätoromanische,1
annotation,14
tracing,1
digital footprints,1
online presence,1
software development,4
engineering,1
computational tools,3
german literature,8
date mentions,1
literary genres,1
corpus analysis,1
narrative techniques,1
sms communication,1
linguistic variation,2
multilingual country,1
mobile language use,1
switzerland,2
linguistic documentation,1
language preservation,1
statistical methods,2
lexical studies,1
linguistic tools,1
resource compilation,1
