Person ID	Institution	Year
sperberg-mc-queen_michael	black-mesa-technologies	2020
bloomfield_camille	uni-paris-cite	2023
tadier_elsa	uni-paris-cite	2023
ysebaert_ronan	uni-paris-cite	2023
flipo_fabrice	uni-paris-cite	2023
ritz_olivier	uni-paris-cite	2022
stoehr_thierry	uni-paris-cite	2022
poulain_pierre	uni-paris-cite	2022
goerres_daniel	fh-koeln	2024
klusik-eckert_jacqueline	uni-duesseldorf	2023
timpf_sabine	uni-augsburg	2023
pfeifer_michelle	uni-dresden	2023
ehrl_franziska	library-uni-heidelberg	2023
hiltmann_torsten	uni-hu-berlin	2022
goldhahn_dirk	adw-leipzig	2022
naether_franziska	adw-leipzig	2022
bamberg_claudia	uni-trier	2022
keupp_jan	uni-muenster	2022
carlson_rebecca	uni-toyo	2023
fortun_mike	uni-california	2023
moreno-almeida_cristina	uni-london-queen-mary	2022
porter_james-david	uni-pennsylvania	2025
konle_leonard	uni-wuerzburg	2025
chonka_peter	uni-london-kcl	2022
mathew_ashwin	uni-london-kcl	2022
zaborowski_rafal	uni-london-kcl	2022
cheong_niki	uni-london-kcl	2022
gibson_laura	uni-london-kcl	2022
oreglia_elisa	uni-london-kcl	2022
brenner_leon	uni-bochum	2025
brenner_leon	uni-iu-berlin	2025
everitt_katherine	self-employment	2025
dawson_john	uni-cambridge	2024
holobut_agata	uni-jagiellonski	2024
rybicki_jan	uni-jagiellonski	2024
manovich_lev	uni-new-york	2024
sobchuk_oleg	mpi-eva	2024
jacqueline_anne	self-employment	2016
bocciolesi_enrico	uni-e-campus	2016
del-grosso_angelo-mario	cnr	2016
lame_marion	cnr	2015
lame_marion	uni-pisa	2016
caputo_marina	uni-perugia	2016
stella_francesco	uni-siena	2016
bianchi_alessandra	uni-bergamo	2016
cei_enzo	self-employment	2016
guarasci_roberto	uni-calabria	2016
spugnesi_giorgio	uni-pisa	2016
d-ambra_dario	fh-koeln	2016
feliciati_pierluigi	uni-macerata	2015
pagliarini_enrico	radio-24	2015
pinna_gabriela-maria	cnr	2015
frontini_francesca	cnr	2015
muggittu_vincenzo	liceo-classico-galileo-galilei	2015
testa_simone	eui	2015
de-santis_dario	uni-milano-bicocca	2015
potenziani_marco	cnr	2017
tomasi_lorenzo	uni-lausanne	2017
lo-duca_angelica	cnr	2017
traverso_ilaria	uni-madrid-autonoma	2017
viazzi_federica	library-beic	2017
battaner-moro_elena	uni-rey-juan-carlos	2024
